Accession ID,Country
EPI_ISL_15875833,Russia
EPI_ISL_15868119,Russia
EPI_ISL_2816265,Russia
EPI_ISL_15884923,Russia
EPI_ISL_15885602,Russia
EPI_ISL_15883972,Russia
EPI_ISL_507229,Russia
EPI_ISL_15867666,Russia
EPI_ISL_15859063,Russia
EPI_ISL_15332573,Russia
EPI_ISL_15880149,Russia
EPI_ISL_15871324,Russia
EPI_ISL_15868953,Russia
EPI_ISL_2031903,Russia
EPI_ISL_14596298,Russia
EPI_ISL_15865110,Russia
EPI_ISL_1919561,Russia
EPI_ISL_15858774,Russia
EPI_ISL_15871840,Russia
EPI_ISL_15858574,Russia
EPI_ISL_8904901,Russia
EPI_ISL_2626364,Russia
EPI_ISL_15884192,Russia
EPI_ISL_1664727,Russia
EPI_ISL_2626193,Russia
EPI_ISL_8904249,Russia
EPI_ISL_15876963,Russia
EPI_ISL_15876204,Russia
EPI_ISL_6901589,Russia
EPI_ISL_15870053,Russia
EPI_ISL_15866397,Russia
EPI_ISL_15867705,Russia
EPI_ISL_15866759,Russia
EPI_ISL_2385357,Russia
EPI_ISL_3996909,Russia
EPI_ISL_15877128,Russia
EPI_ISL_8109245,Russia
EPI_ISL_1708516,Russia
EPI_ISL_8904225,Russia
EPI_ISL_6192546,Russia
EPI_ISL_2816246,Russia
EPI_ISL_10932015,Russia
EPI_ISL_10542369,Russia
EPI_ISL_15874194,Russia
EPI_ISL_1491705,Russia
EPI_ISL_7688486,Russia
EPI_ISL_429116,Russia
EPI_ISL_602438,Russia
EPI_ISL_8904560,Russia
EPI_ISL_15883618,Russia
EPI_ISL_15883845,Russia
EPI_ISL_6015780,Russia
EPI_ISL_3122978,Russia
EPI_ISL_15858548,Russia
EPI_ISL_15874283,Russia
EPI_ISL_6083800,Russia
EPI_ISL_3086662,Russia
EPI_ISL_15885002,Russia
EPI_ISL_4563905,Russia
EPI_ISL_15858711,Russia
EPI_ISL_6901165,Russia
EPI_ISL_8904858,Russia
EPI_ISL_15332672,Russia
EPI_ISL_872635,Russia
EPI_ISL_15884844,Russia
EPI_ISL_1664638,Russia
EPI_ISL_15867577,Russia
EPI_ISL_7688490,Russia
EPI_ISL_8907935,Russia
EPI_ISL_569757,Russia
EPI_ISL_15874781,Russia
EPI_ISL_15877137,Russia
EPI_ISL_15858621,Russia
EPI_ISL_3007806,Russia
EPI_ISL_733436,Russia
EPI_ISL_639955,Russia
EPI_ISL_14596180,Russia
EPI_ISL_2626272,Russia
EPI_ISL_2450566,Russia
EPI_ISL_6831948,Russia
EPI_ISL_3919587,Russia
EPI_ISL_8908294,Russia
EPI_ISL_3932127,Russia
EPI_ISL_6901459,Russia
EPI_ISL_8908153,Russia
EPI_ISL_14596186,Russia
EPI_ISL_8904541,Russia
EPI_ISL_3932121,Russia
EPI_ISL_15867424,Russia
EPI_ISL_523997,Russia
EPI_ISL_15885131,Russia
EPI_ISL_8904702,Russia
EPI_ISL_15880377,Russia
EPI_ISL_15867897,Russia
EPI_ISL_10579828,Russia
EPI_ISL_15866360,Russia
EPI_ISL_11865078,Russia
EPI_ISL_8904277,Russia
EPI_ISL_15873661,Russia
EPI_ISL_15866624,Russia
EPI_ISL_8904818,Russia
EPI_ISL_3919754,Russia
EPI_ISL_1491647,Russia
EPI_ISL_15884275,Russia
EPI_ISL_15885617,Russia
EPI_ISL_15885260,Russia
EPI_ISL_2385345,Russia
EPI_ISL_733086,Russia
EPI_ISL_429136,Russia
EPI_ISL_15874019,Russia
EPI_ISL_8904220,Russia
EPI_ISL_15871671,Russia
EPI_ISL_15884459,Russia
EPI_ISL_1919449,Russia
EPI_ISL_15868975,Russia
EPI_ISL_15869923,Russia
EPI_ISL_15869957,Russia
EPI_ISL_8908121,Russia
EPI_ISL_6642093,Russia
EPI_ISL_15870011,Russia
EPI_ISL_15876504,Russia
EPI_ISL_2448658,Russia
EPI_ISL_8908685,Russia
EPI_ISL_8904296,Russia
EPI_ISL_15876560,Russia
EPI_ISL_8109241,Russia
EPI_ISL_8109399,Russia
EPI_ISL_15880235,Russia
EPI_ISL_6642208,Russia
EPI_ISL_427309,Russia
EPI_ISL_8904565,Russia
EPI_ISL_602432,Russia
EPI_ISL_15867557,Russia
EPI_ISL_7591260,Russia
EPI_ISL_15858986,Russia
EPI_ISL_9123610,Russia
EPI_ISL_872925,Russia
EPI_ISL_8189539,Russia
EPI_ISL_15869880,Russia
EPI_ISL_15873433,Russia
EPI_ISL_15859077,Russia
EPI_ISL_15884442,Russia
EPI_ISL_15869414,Russia
EPI_ISL_15858554,Russia
EPI_ISL_15866011,Russia
EPI_ISL_4536465,Russia
EPI_ISL_8109422,Russia
EPI_ISL_15886737,Russia
EPI_ISL_11359461,Russia
EPI_ISL_15868824,Russia
EPI_ISL_8908227,Russia
EPI_ISL_754209,Russia
EPI_ISL_2385160,Russia
EPI_ISL_15864931,Russia
EPI_ISL_15886736,Russia
EPI_ISL_15872197,Russia
EPI_ISL_15872707,Russia
EPI_ISL_2450471,Russia
EPI_ISL_733075,Russia
EPI_ISL_15872050,Russia
EPI_ISL_15886328,Russia
EPI_ISL_10931751,Russia
EPI_ISL_717972,Russia
EPI_ISL_7717625,Russia
EPI_ISL_732667,Russia
EPI_ISL_6642016,Russia
EPI_ISL_15876547,Russia
EPI_ISL_15883635,Russia
EPI_ISL_15883608,Russia
EPI_ISL_9338694,Russia
EPI_ISL_3086566,Russia
EPI_ISL_15867694,Russia
EPI_ISL_1491719,Russia
EPI_ISL_15876702,Russia
EPI_ISL_486827,Russia
